id,name,ministry,department,description,benefitType,benefitAmount,benefitDescription,minAge,maxAge,gender,maxAnnualIncome,incomeCategoryAllowed,casteCategoryAllowed,employmentTypes,mustBeDisabled,mustBeWidow,mustBeStudent,mustBeFarmer,mustBeSeniorCitizen,mustHaveRationCard,isMinority,documentsRequired,schemeLevel,applicationLink
pm-kisan-samman-nidhi,""Pradhan Mantri Kisan Samman Nidhi"",Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,""Income support to landholding farmer families for agricultural inputs"",subsidy,6000,""INR 6000 per year in three equal installments of 2000 each"",18,,any,,,,,farmer,false,false,false,true,false,false,false,Aadhaar Card|Land Records|Bank Passbook|Mobile Number,central,https://pmkisan.gov.in/
ayushman-bharat-pm-jay,""Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana"",Ministry of Health and Family Welfare,National Health Authority,""World's largest health assurance scheme providing secondary and tertiary care hospitalization"",healthcare,500000,""Health cover of INR 5 lakh per family per year"",,,any,,BPL|LIG,,,false,false,false,false,false,false,false,Aadhaar Card|Ration Card|Income Certificate,central,https://setu.pmjay.gov.in/setu/
pm-awas-yojana-urban,""Pradhan Mantri Awas Yojana - Urban"",Ministry of Housing and Urban Affairs,,Provide all-weather pucca houses to all eligible beneficiaries in urban areas,housing,,Interest subsidy on home loans or direct financial assistance,18,,any,1800000,EWS|LIG|MIG,,,false,false,false,false,false,false,false,Aadhaar Card|Voter ID|Income Certificate|Affidavit of not owning pucca house,central,https://pmay-urban.gov.in/
pm-awas-yojana-gramin,""Pradhan Mantri Awas Yojana - Gramin"",Ministry of Rural Development,Department of Rural Development,""Financial assistance to rural BPL families for construction of pucca houses"",housing,120000,""INR 1.2 Lakh in plains and 1.3 Lakh in hilly/difficult areas"",18,,any,,BPL,,,false,false,false,false,false,false,false,Aadhaar Card|MGNREGA Job Card|Bank Account|Socio-Economic Caste Census ID,central,https://pmayg.nic.in/
atal-pension-yojana,Atal Pension Yojana,Ministry of Finance,Department of Financial Services,""Pension scheme focused on the unorganized sector workers"",pension,3000,""Monthly guaranteed pension of INR 1000 to 5000 based on contribution"",18,40,any,,,,,false,false,false,false,false,false,false,Aadhaar Card|Savings Bank Account|Mobile Number,central,https://www.npscra.nsdl.co.in/scheme-details.php
pm-jeevan-jyoti-bima,""Pradhan Mantri Jeevan Jyoti Bima Yojana"",Ministry of Finance,Department of Financial Services,""One-year life insurance scheme renewable from year to year"",insurance,200000,""INR 2 Lakh in case of death due to any cause"",18,50,any,,,,,false,false,false,false,false,false,false,Aadhaar Card|Bank Account|Consent for Auto-debit,central,https://www.jansuraksha.gov.in/
pm-suraksha-bima,""Pradhan Mantri Suraksha Bima Yojana"",Ministry of Finance,Department of Financial Services,""Accident insurance scheme offering protection against death or disability"",insurance,200000,""INR 2 Lakh for accidental death or total disability; 1 Lakh for partial disability"",18,70,any,,,,,false,false,false,false,false,false,false,Aadhaar Card|Bank Account|Mobile Number,central,https://www.jansuraksha.gov.in/
pm-shram-yogi-maan-dhan,""Pradhan Mantri Shram Yogi Maan-Dhan"",Ministry of Labour and Employment,,""Pension scheme for unorganized workers like street vendors, rickshaw pullers"",pension,3000,""Assured monthly pension of INR 3000 after attaining age 60"",18,40,any,180000,,,,false,false,false,false,false,false,false,Aadhaar Card|Savings Bank Account|IFSC Code,central,https://maandhan.in/
sukanya-samriddhi-yojana,Sukanya Samriddhi Yojana,Ministry of Finance,Department of Economic Affairs,""Small deposit scheme for the girl child as part of Beti Bachao Beti Padhao campaign"",other,,High-interest savings account for education and marriage of girl child,0,10,female,,,,,false,false,false,false,false,false,false,Birth Certificate of Girl Child|Aadhaar of Parent|Address Proof,central,https://www.indiapost.gov.in/Financial/Pages/Content/Post-Office-Saving-Schemes.aspx
pm-mudra-yojana,Pradhan Mantri Mudra Yojana,Ministry of Finance,Department of Financial Services,""Loans to non-corporate, non-farm small/micro enterprises"",loan,1000000,""Collateral-free loans up to 10 Lakh in three categories: Shishu, Kishor, Tarun"",18,,any,,,,,false,false,false,false,false,false,false,Business Plan|Identity Proof|Address Proof|Category Certificate,central,https://www.mudra.org.in/
